"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USW00094823","09-01","692","794","590"
"USW00094823","09-02","689","791","587"
"USW00094823","09-03","687","789","584"
"USW00094823","09-04","684","786","582"
"USW00094823","09-05","681","783","579"
"USW00094823","09-06","678","780","576"
"USW00094823","09-07","675","777","573"
"USW00094823","09-08","671","773","569"
"USW00094823","09-09","668","770","566"
"USW00094823","09-10","664","766","563"
"USW00094823","09-11","661","763","559"
"USW00094823","09-12","657","759","555"
"USW00094823","09-13","653","755","552"
"USW00094823","09-14","650","751","548"
"USW00094823","09-15","646","747","544"
"USW00094823","09-16","642","743","540"
"USW00094823","09-17","638","739","536"
"USW00094823","09-18","634","735","532"
"USW00094823","09-19","629","731","528"
"USW00094823","09-20","625","727","524"
"USW00094823","09-21","621","722","520"
"USW00094823","09-22","617","718","516"
"USW00094823","09-23","613","714","512"
"USW00094823","09-24","608","709","507"
"USW00094823","09-25","604","705","503"
"USW00094823","09-26","600","701","499"
"USW00094823","09-27","596","697","495"
"USW00094823","09-28","592","692","491"
"USW00094823","09-29","588","688","487"
"USW00094823","09-30","583","684","483"
