"STATION","DATE","MLY-PRCP-NORMAL","MLY-SNOW-NORMAL","MLY-TAVG-NORMAL","MLY-TMAX-NORMAL","MLY-TMIN-NORMAL"
"USW00094823","01","270","115","284","357","211"
"USW00094823","02","239","102","311","393","230"
"USW00094823","03","295","74","396","492","300"
"USW00094823","04","311","15","509","617","402"
"USW00094823","05","395","0","601","708","493"
"USW00094823","06","430","0","687","791","584"
"USW00094823","07","383","0","726","825","628"
"USW00094823","08","348","0","715","814","615"
"USW00094823","09","311","0","641","743","540"
"USW00094823","10","229","4","527","626","429"
"USW00094823","11","323","21","429","512","347"
"USW00094823","12","285","83","324","394","253"
