"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USC00047767","09-01","595","635","554"
"USC00047767","09-02","595","636","554"
"USC00047767","09-03","595","636","553"
"USC00047767","09-04","595","636","553"
"USC00047767","09-05","594","636","553"
"USC00047767","09-06","594","636","552"
"USC00047767","09-07","594","636","552"
"USC00047767","09-08","594","637","552"
"USC00047767","09-09","594","637","551"
"USC00047767","09-10","594","637","551"
"USC00047767","09-11","594","637","550"
"USC00047767","09-12","594","637","550"
"USC00047767","09-13","593","637","549"
"USC00047767","09-14","593","637","549"
"USC00047767","09-15","593","638","548"
"USC00047767","09-16","593","638","548"
"USC00047767","09-17","593","638","548"
"USC00047767","09-18","593","638","547"
"USC00047767","09-19","592","638","547"
"USC00047767","09-20","592","639","546"
"USC00047767","09-21","592","639","546"
"USC00047767","09-22","592","639","545"
"USC00047767","09-23","592","639","545"
"USC00047767","09-24","592","640","544"
"USC00047767","09-25","592","640","544"
"USC00047767","09-26","592","640","543"
"USC00047767","09-27","592","641","543"
"USC00047767","09-28","591","641","542"
"USC00047767","09-29","591","641","542"
"USC00047767","09-30","591","642","541"
