"STATION","DATE","MLY-PRCP-NORMAL","MLY-SNOW-NORMAL","MLY-TAVG-NORMAL","MLY-TMAX-NORMAL","MLY-TMIN-NORMAL"
"USC00047767","01","418","0","508","566","450"
"USC00047767","02","410","0","526","586","465"
"USC00047767","03","263","0","533","590","475"
"USC00047767","04","118","0","540","591","488"
"USC00047767","05","64","0","551","595","506"
"USC00047767","06","21","0","566","608","525"
"USC00047767","07","1","0","577","615","540"
"USC00047767","08","5","0","591","628","553"
"USC00047767","09","10","0","593","638","548"
"USC00047767","10","106","0","587","645","529"
"USC00047767","11","255","0","552","616","488"
"USC00047767","12","397","0","511","568","453"
