"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USW00024281","04-01","495","578","413"
"USW00024281","04-02","496","579","414"
"USW00024281","04-03","497","580","415"
"USW00024281","04-04","498","581","415"
"USW00024281","04-05","499","583","416"
"USW00024281","04-06","501","584","417"
"USW00024281","04-07","502","585","418"
"USW00024281","04-08","503","587","419"
"USW00024281","04-09","504","588","420"
"USW00024281","04-10","505","589","421"
"USW00024281","04-11","506","591","422"
"USW00024281","04-12","507","592","423"
"USW00024281","04-13","509","594","424"
"USW00024281","04-14","510","595","425"
"USW00024281","04-15","511","597","426"
"USW00024281","04-16","513","598","427"
"USW00024281","04-17","514","600","429"
"USW00024281","04-18","516","602","430"
"USW00024281","04-19","518","603","432"
"USW00024281","04-20","519","605","433"
"USW00024281","04-21","521","607","435"
"USW00024281","04-22","523","609","437"
"USW00024281","04-23","525","611","438"
"USW00024281","04-24","526","613","440"
"USW00024281","04-25","528","615","442"
"USW00024281","04-26","530","617","444"
"USW00024281","04-27","532","619","446"
"USW00024281","04-28","535","621","448"
"USW00024281","04-29","537","623","450"
"USW00024281","04-30","539","625","453"
