"STATION","DATE","MLY-PRCP-NORMAL","MLY-SNOW-NORMAL","MLY-TAVG-NORMAL","MLY-TMAX-NORMAL","MLY-TMIN-NORMAL"
"USW00024281","01","547","9","430","486","373"
"USW00024281","02","352","9","443","514","371"
"USW00024281","03","385","-7777","476","554","397"
"USW00024281","04","279","0","514","599","429"
"USW00024281","05","201","0","573","658","488"
"USW00024281","06","157","0","620","707","533"
"USW00024281","07","85","0","662","758","565"
"USW00024281","08","94","0","666","762","570"
"USW00024281","09","130","0","619","708","531"
"USW00024281","10","338","0","537","607","468"
"USW00024281","11","598","7","465","524","406"
"USW00024281","12","606","25","414","469","360"
