year_num,month_num,month_name,seattle_avg_temperature,petersburg_avg_temperature,seattle_minus_petersburg_avg_temperature,seattle_total_precipitation,petersburg_total_precipitation,seattle_minus_petersburg_precipitation
2010,1,January,42.96,5.1,37.86,5.47,0.55,4.92
2010,2,February,44.26,10.15,34.11,3.52,0.44,3.08
2010,3,March,47.55,22.9,24.65,3.85,0.72,3.13
2010,4,April,51.41,40.55,10.86,2.79,0.98,1.81
2010,5,May,57.3,53.64,3.66,2.01,2.49,-0.48
2010,6,June,61.99,63.21,-1.22,1.57,3.76,-2.19
2010,7,July,66.15,67.85,-1.7,0.85,3.22,-2.37
2010,8,August,66.6,66.54,0.06,0.94,2.75,-1.81
2010,9,September,61.95,56.15,5.8,1.3,2.08,-0.78
2010,10,October,53.75,42.05,11.7,3.38,1.69,1.69
2010,11,November,46.5,25.1,21.4,5.98,0.81,5.17
2010,12,December,41.45,10.1,31.35,6.06,0.73,5.33
