year_num,month_num,month_name,seattle_latitude,san_francisco_latitude,seattle_avg_temperature,san_francisco_avg_temperature,san_francisco_minus_seattle_temperature,seattle_total_precipitation,san_francisco_total_precipitation,san_francisco_minus_seattle_precipitation,temperature_difference_rank
2010,12,December,47.65,37.728,41.45,51.05,9.6,6.06,3.97,-2.09,1
2010,11,November,47.65,37.728,46.5,55.2,8.7,5.98,2.55,-3.43,2
2010,7,July,47.65,37.728,66.15,57.75,-8.4,0.85,0.01,-0.84,3
2010,2,February,47.65,37.728,44.26,52.55,8.29,3.52,4.1,0.58,4
2010,1,January,47.65,37.728,42.96,50.8,7.84,5.47,4.18,-1.29,5
2010,8,August,47.65,37.728,66.6,59.05,-7.55,0.94,0.05,-0.89,6
2010,3,March,47.65,37.728,47.55,53.25,5.7,3.85,2.63,-1.22,7
2010,6,June,47.65,37.728,61.99,56.65,-5.34,1.57,0.21,-1.36,8
2010,10,October,47.65,37.728,53.75,58.7,4.95,3.38,1.06,-2.32,9
2010,9,September,47.65,37.728,61.95,59.31,-2.64,1.3,0.1,-1.2,10
2010,4,April,47.65,37.728,51.41,53.95,2.54,2.79,1.18,-1.61,11
2010,5,May,47.65,37.728,57.3,55.05,-2.25,2.01,0.64,-1.37,12
